Nome da Música,link,album,letra
A Banda Dos Contentes,/skank/a-banda-dos-contentes.html,Regravação de Erasmo Carlos,"Está tão difícil ajeitar as coisas E, cada vez mais, agradar a todos Quanto mais se faz, mais fica-se devendo E pra se viver, mais vai se fazendo  Roer as 20 unhas não adianta nada Correr pra velha, não é solução Todos dançam tristes na banda dos contentes Ritmos todos, bem diferentes Às vezes, olho no espelho Não vejo minha cara E com que cara que eu vou me mostrar Dentro de mim, com o meu saco cheio Porque a vida me fez Somente do meu tamanho Com todo o direito Reclama o meu peito Achando que a mente Não tem mais condição Está faltando a força duvidosa Da minha razão  Eu preciso urgentemente de um psicanalista Vou pagar pra ver meus pontos de vista Ou, então, eu mesmo me trato Com a viola e vou pro mato Senão minha cabeça explode Explode… explode… explode… Ou quem sabe ela implode Num processo simplesmente se dissolve Me diga onde já se viu Um corpo confuso que a cabeça fundiu"
A Cerca,/skank/a-cerca.html,Calango,"Fazendo cerca na Fazenda do Rosário Resto de toco velho mandado pelo vigário  Meu camarada, eu moro aqui do lado O terreno que tu cerca já tá cercado  Não entendi a assertiva do compadre Se é lei chama o doutor Se é milagre chama o padre  É muito simples, tu veja ali na frente Tá vendo o laranjal, minha cerca passa rente  Que dia quente, tem feito muito calor Daqui há pouco, meu vizinho vê um disco voador  Se visse até pedia para descer Quem sabe se um marciano Consegue te esclarecer Ô meu compadre, cê tá vendo assombração Cê num e advogado, cê num é tabelião  Nem por isso eu deixei de fazer o justo Se o sujeito enxerga torto O direito dá um susto  Tu cerca a terra, tu cerca até o mundo Então cerca tua filha, toda noite aqui no fundo  Pois te conto um segredo Cê não conta pra ninguém Andam vendo tua mulher Com o dono do armazém  Maledicência, eu já tó acostumado Até dizem que o senhor é incapacitado Eu tomo chuva, tomo ar puro de manhã Minha saúde é de ferro, pergunte pra sua irmã  Nunca se está a salvo da falação alheia Eis que um tipo parvo vem falar na minha oreia  Martelo prego, torniquete com serrote Acerca de homem cego, quem tem vista dá o mote  Terequitem, ô pra cá você não vem Terequitem, que eu conserto a ti também (Te prego um prego também)."
A Hard Day's Night,/skank/a-hard-days-night.html,,"T's been a hard day's night And I've been workin' like a dog It's been a hard day's night I should be sleepin' like a log  But when I get home to you I find the things that you do Will make me feel alright  You know I work all day To get you money to buy you things And it's worth it just to hear you say You're gonna give me everything  So why on earth should I moan? 'Cause when I get you alone You know I feel okay  When I'm home Everything seems to be right When I'm home Feeling you holding me tight Tight, yeah  It's been a hard day's night And I've been workin' like a dog It's been a hard day's night I should be sleepin' like a log  But when I get home to you I find the things that you do Make me feel alright  So why on earth should I moan? 'Cause when I get you alone You know I feel okay  When I'm home Everything seems to be right When I'm home Feeling you holding me tight Tight, yeah  It's been a hard day's night And I've been workin' like a dog It's been a hard day's night I should be sleepin' like a log  But when I get home to you I find the things that you do Make me feel alright You know I feel alright You know I feel alright"
A Noite,/skank/a-noite.html,Velocia,"À noite é a hora perfeita Nunca se sabe pra que Lobos estão a espreita Todos querendo você  A lua partida num canto Da paisagem cruel A cidade é uma longa Favela de arranha-céus  A noite dissolve a cidade Em outra alucinação Mais um grão se desfaz Na vodca com limão  Eu sei Que o futuro já passou Do passado só restou A foto ali no bar  Lá em cima rola animação Alguém mantendo a pulsação Não importa o que vem depois Quarto de hotel, baião de dois  Ela saiu cedo, caiu na noite E ainda não voltou Ela saiu cedo, caiu na noite E me devorou"
A Tela,/skank/a-tela.html,Skank 91,"A tela leva, a tela traz Invade oculta por detrás Um prazer que nunca se alcança Num corpo que não tem vez Pois não passa de pura promessa O prazer de toda aquela nudez  A tela leva, a tela traz Invade oculta por detrás Paralisa, fragmenta Lamenta, diz que não viu Colore os olhos, ascende, apaga Preenche com nada  E o corpo virou máquina E a máquina virou corpo Paralisa, fragmenta Lamenta, diz que não viu Colore os olhos, ascende, apaga Preenche com nada  E vem cheia de promessas De coisas que nunca existiram Um toque, um beijo, quantias de dinheiro E belas frutas sem gosto e sem cheiro  Não se pode distrair Fazer do corpo uma máquina Do sexo a essência de uma era E vende-se o que quiser com ela  A tela  E o corpo virou máquina E a máquina virou corpo Paralisa, fragmenta Lamenta, diz que não viu Colore os olhos, ascende, apaga Preenche com nada  E vem cheia de promessas De coisas que nunca existiram Um toque, um beijo, quantias de dinheiro E belas frutas sem gosto e sem cheiro  Não se pode distrair Fazer do corpo uma máquina Do sexo a essência de uma era E vende-se o que quiser com ela  A tela"
A Última Guerra,/skank/a-ultima-guerra.html,Maquinarama,Duas Luas sobre a Terra Apoiadas nos meus ombros Iluminam os escombros Da nossa última guerra  [Verso 1] Seu amor seca hidrelétricas Corrompe os melhores diáconos Seu amor esquenta os átomos E rompe com a minha métrica  [Refrão 2x] E a poeira Não deixou de cair Passeia aqui através de mim E encontra assim (da guerra em nós) o fim  Duas Luas sobre a Terra...  [Verso 2] Seu amor justifica a crueldade Troca o caminho do tempo Seu amor muda o curso do vento Ilumina toda a cidade  [Refrão]  Duas Luas sobre a Terra...
Acima do Sol,/skank/acima-do-sol.html,Rock In Rio ao vivo,"Assim ela já vai Achar o cara que lhe queira Como você não quis fazer  Sim, eu sei que ela só vai Achar alguém pra vida inteira Como você não quis  Tão fácil perceber Que a sorte escolheu você E você cego nem nota  Quando tudo ainda é nada Quando o dia é madrugada Você gastou sua cota  Eu não posso te ajudar Esse caminho não há outro Que por você faça  Eu queria insistir Mas o caminho só existe Quando você passa  Quando muito ainda é pouco Você quer infantil e louco Um sol acima do sol  Mas quando sempre é sempre nunca Quando ao lado ainda é muito mais longe Que qualquer lugar  Ôo, um dia ela já vai Achar o cara que lhe queira Como você não quis fazer  Sim, eu sei que ela só vai Achar alguém pra vida inteira Como você não quis  Se a sorte lhe sorriu Por que não sorrir de volta? Você nunca olha a sua volta  Não quero estar sendo mau Moralista ou banal Aqui está o que me afligia  Ôo, um dia ela já vai Achar o cara que lhe queira Como você não quis fazer  Sim, eu sei que ela só vai Achar alguém pra vida inteira Como você não quis"
Água E Fogo,/skank/agua-e-fogo.html,Maquinarama,"Pra começar eu sou leão Você é peixe lá do mar Água e fogo não sei, não É cinza ou vai evaporar  Que seja entre a gente só Hula hula e rock'n'roll Até aparecer alguém Na estação do amor  A visão que for Cometa de Halley Estação qualquer Boogie-woogie no baile  Quantas noites vazias Passei olhando as manchas do teto! Liguei pra você, pode ser, não me lembro Se tudo deu certo  Pode até rolar, deixa pra lá Pode até voltar, deixa sangrar Pode até doer, deixa eu dizer Pode até não ser  Que fique claro, então Chacundum, dança de salão Tá combinado assim Você me chama; eu não sei, não  Entre nós assim Bagaceira sincera Sem biziu, nem banzo Sem pressa, sem espera  Entre nós assim Bagaceira sincera Sem biziu, nem banzo Sem pressa, sem espera  Quantas noites vazias Passei olhando as manchas do teto! Liguei pra você, pode ser, não me lembro Se tudo deu certo  Pode até rolar, deixa pra lá Pode até voltar, deixa sangrar Pode até doer, deixa eu dizer Pode até não ser  E pode acreditar Sem parar no passado Pode mesmo duvidar Vai que eu esteja errado Pode me esquecer Porque eu só faço besteira Pode me querer Dessa ou de outra maneira  Quantas noites vazias Passei olhando as manchas do teto! Liguei pra você, pode ser, não me lembro Se tudo deu certo  Pode até rolar, deixa pra lá Pode até voltar, deixa sangrar Pode até doer, deixa eu dizer Pode até não ser"
Ainda Gosto Dela,/skank/ainda-gosto-dela.html,Rock In Rio ao vivo,"Hoje acordei sem lembrar Se vivi ou se sonhei Você aqui nesse lugar Que eu ainda não deixei  Vou ficar? Quanto tempo Vou esperar E eu não sei o que vou fazer não  Nem precisei revelar Sua foto não tirei Como tirei pra dançar Alguém que avistei  Tempo atrás Esse tempo está Lá trás E eu não tenho mais o que fazer, não  Eu ainda gosto dela Mas ela já não gosta tanto assim A porta ainda está aberta Mas da janela já não entra luz  E eu ainda penso nela Mas ela já não pensa mais em mim Em mim não  Ainda vejo o luar Refletido na areia Aqui na frente desse mar Sua boca eu beijei  Vou ficar Só com ela eu Quis ficar E agora ela me deixou oh  Eu ainda gosto dela Mas ela já não gosta tanto assim A porta ainda está aberta Mas da janela já não entra luz(2x)  E eu ainda penso nela Mas ela já não pensa mais em mim Eu vou deixar a porta aberta Pra que ela entre e traga a sua luz.(2x)"
"Ainda Gosto Dela (Part. Negra Li) (Dubdogz, RQntz & Lowsince Remix)									",/skank/ainda-gosto-dela-part-negra-li-dubdogz-rqntz-lowsince-remix.html,,Hoje acordei sem lembrar Se vivi ou se sonhei Você aqui nesse lugar Que eu ainda não deixei  Vou ficar? Quanto tempo Vou esperar E eu não sei o que vou fazer não  Eu ainda gosto dela Mas ela já não gosta tanto assim A porta ainda está aberta Mas da janela já não entra luz  E eu ainda penso nela Mas ela já não pensa mais em mim Em mim não  Ainda vejo o luar Refletido na areia Aqui na frente desse mar Sua boca eu beijei  Vou ficar Só com ela eu Quis ficar E agora ela me deixou oh  Eu ainda gosto dela Mas ela já não gosta tanto assim A porta ainda está aberta Mas da janela já não entra luz  E eu ainda penso nela Mas ela já não pensa mais em mim Eu vou deixar a porta aberta Pra que ela entre e traga a sua luz
